fight_url,winner
http://ufcstats.com/fight-details/5ee11b727e89e8ad,Michael Page
http://ufcstats.com/fight-details/43e26b46cbb51985,Iwo Baraniewski
http://ufcstats.com/fight-details/562d916f55918901,Christian Leroy Duncan
http://ufcstats.com/fight-details/4e58bcc0d27042fd,Danny Silva
http://ufcstats.com/fight-details/3ee578ddd071ad4c,Mason Jones
http://ufcstats.com/fight-details/3b9f50f07d9a1601,Nathaniel Wood
http://ufcstats.com/fight-details/90187edeeda7e6d6,Mario Pinto
http://ufcstats.com/fight-details/8817bd21b6d0a989,Mantas Kondratavicius
http://ufcstats.com/fight-details/bfd17ed83ec5b598,Brando Pericic
http://ufcstats.com/fight-details/bbe0f3653de9f6a8,Abdul-Kareem Al-Selwady
http://ufcstats.com/fight-details/216bc9b661485017,Shanelle Dyer
http://ufcstats.com/fight-details/f594fc5c2bc6237e,Kevin Vallejos
http://ufcstats.com/fight-details/3b7b771b9578383d,Gillian Robertson
http://ufcstats.com/fight-details/8bee5192baec71d8,Jose Delgado
http://ufcstats.com/fight-details/e0acd0cf4930671b,Marwan Rahiki
http://ufcstats.com/fight-details/db7694f4513120d5,Ion Cutelaba
http://ufcstats.com/fight-details/fc9168fd102e2e66,Charles Johnson
http://ufcstats.com/fight-details/f26c0bdf7689aea2,Myktybek Orolbai
http://ufcstats.com/fight-details/2c330a6f7f1e55f0,Vitor Petrino
http://ufcstats.com/fight-details/f44b4e998b6829f6,Elijah Smith
http://ufcstats.com/fight-details/c769dd861357af9f,Manoel Sousa
http://ufcstats.com/fight-details/cff81d681a01ae18,Eryk Anders
http://ufcstats.com/fight-details/8cab057e6549afd0,Bia Mesquita
http://ufcstats.com/fight-details/32d371462c539bee,Hecher Sosa
http://ufcstats.com/fight-details/244285b7fd0ddece,Piera Rodriguez
http://ufcstats.com/fight-details/f030febede41c661,Charles Oliveira
http://ufcstats.com/fight-details/d564db29997e1371,Caio Borralho
http://ufcstats.com/fight-details/bed89a91da9d04c1,Raul Rosas Jr.
http://ufcstats.com/fight-details/f02c0adc4ae629c6,Drew Dober
http://ufcstats.com/fight-details/6a4738656c493ee9,Gregory Rodrigues
http://ufcstats.com/fight-details/ecd16d14a138d7fb,Cody Garbrandt
http://ufcstats.com/fight-details/9c8d5dbd8905a715,Donte Johnson
http://ufcstats.com/fight-details/6feb49a6b7e8433c,Alberto Montes
http://ufcstats.com/fight-details/f661ef429055f8c1,Nyamjargal Tumendemberel
http://ufcstats.com/fight-details/a22fd3735819d858,Sumudaerji
http://ufcstats.com/fight-details/cc03e698c4b7da52,Diyar Nurgozhay
http://ufcstats.com/fight-details/a5abdc461cb1538e,Rodolfo Bellato
http://ufcstats.com/fight-details/1330b5c21269fe92,Lone'er Kavanagh
http://ufcstats.com/fight-details/36d12b31957e94db,David Martinez
http://ufcstats.com/fight-details/81f3d28d30d17378,King Green
http://ufcstats.com/fight-details/7df505d8260ba680,Edgar Chairez
http://ufcstats.com/fight-details/15068d7b095ca9bd,Imanol Rodriguez
http://ufcstats.com/fight-details/3b76a00f5d0400eb,Santiago Luna
http://ufcstats.com/fight-details/45ec0c5f19c9adbe,Ryan Gandra
http://ufcstats.com/fight-details/c40b934d2666e351,Ailin Perez
http://ufcstats.com/fight-details/25ab195cefbce1d0,Cristian Quinonez
http://ufcstats.com/fight-details/6154ee95d3f4fc32,Javier Reyes
http://ufcstats.com/fight-details/44d58943ac8e47e1,Regina Tarin
http://ufcstats.com/fight-details/581292ffe5b09344,Francis Marshall
http://ufcstats.com/fight-details/c6a85b67fdd2ef3d,Damian Pinas
http://ufcstats.com/fight-details/8d740c844353ae0e,Sean Strickland
http://ufcstats.com/fight-details/dd12bf51c5ed7f1e,Uros Medic
http://ufcstats.com/fight-details/dc6f6c8228390ebb,Melquizael Costa
http://ufcstats.com/fight-details/04b7bcc0e8488604,Serghei Spivac
http://ufcstats.com/fight-details/54437b8dba3a6110,Jacobe Smith
http://ufcstats.com/fight-details/372d1dee0db8dbee,Michel Pereira
http://ufcstats.com/fight-details/202d3277e569ad03,Carlos Leal
http://ufcstats.com/fight-details/7ffdaa44fc8d111b,
http://ufcstats.com/fight-details/ac39c1f00ae31e58,Alden Coria
http://ufcstats.com/fight-details/fd56a469e4589ebc,Joselyne Edwards
http://ufcstats.com/fight-details/8f9896e60047007f,Punahele Soriano
http://ufcstats.com/fight-details/508e622130b0a84d,Jean-Paul Lebosnoyani
http://ufcstats.com/fight-details/5b97f47cdd355cbe,Jordan Leavitt
http://ufcstats.com/fight-details/6e78d874097a3d22,Carli Judice
http://ufcstats.com/fight-details/fb4b1754d510b0d0,Mario Bautista
http://ufcstats.com/fight-details/dbbf8334a2600895,Kyoji Horiguchi
http://ufcstats.com/fight-details/a5c5f76cf0a7c784,Rizvan Kuniev
http://ufcstats.com/fight-details/8fea32ab0445859c,Michal Oleksiejczuk
http://ufcstats.com/fight-details/2a26c0cfa06265b7,Farid Basharat
http://ufcstats.com/fight-details/6cca11f353a2b42d,Dustin Jacoby
http://ufcstats.com/fight-details/f964d2dda87f25f0,Daniil Donchenko
http://ufcstats.com/fight-details/abefaf1807941ee4,Nikolay Veretennikov
http://ufcstats.com/fight-details/cc5c5a8cff4c1ae9,Ketlen Souza
http://ufcstats.com/fight-details/86df0e75f41784d8,Javid Basharat
http://ufcstats.com/fight-details/84e8ccc3c97c2b4c,Wang Cong
http://ufcstats.com/fight-details/9d30c887e8bd8824,Jakub Wiklacz
http://ufcstats.com/fight-details/2bbfbb234c255249,Klaudia Sygula
http://ufcstats.com/fight-details/b06b43670238c2d8,Alexander Volkanovski
http://ufcstats.com/fight-details/a7ae8f6eb5fc3a79,Benoit Saint Denis
http://ufcstats.com/fight-details/57d7a683b85bb87b,Mauricio Ruffy
http://ufcstats.com/fight-details/67765535bd0b6bdf,Tallison Teixeira
http://ufcstats.com/fight-details/32e9bc4d0a19a923,Quillan Salkilld
http://ufcstats.com/fight-details/d94f1b32a81e3fa1,Billy Elekana
http://ufcstats.com/fight-details/47362cae6ba0e077,Cam Rowston
http://ufcstats.com/fight-details/0047f8aadca1936f,Jacob Malkoun
http://ufcstats.com/fight-details/78912b78aa946375,Jonathan Micallef
http://ufcstats.com/fight-details/4c1e7e1765a5438a,Kaan Ofli
http://ufcstats.com/fight-details/ad14c502c9c5a7e9,Dom Mar Fan
http://ufcstats.com/fight-details/780bae82bdfc7112,Keiichiro Nakamura
http://ufcstats.com/fight-details/5c73e0013b859664,Lawrence Lui
http://ufcstats.com/fight-details/fa4b3f5ce8055921,Justin Gaethje
http://ufcstats.com/fight-details/007e8e0d4a39d82c,Sean O'Malley
http://ufcstats.com/fight-details/d93ee3860196c4ae,Waldo Cortes Acosta
http://ufcstats.com/fight-details/d63c9aa4f4873001,Natalia Silva
http://ufcstats.com/fight-details/836a188a90e479a5,Jean Silva
http://ufcstats.com/fight-details/6c9f4799990c3c33,Umar Nurmagomedov
http://ufcstats.com/fight-details/33be2456161c14c3,Ateba Gautier
http://ufcstats.com/fight-details/780cab0cd07589e4,Nikita Krylov
http://ufcstats.com/fight-details/b5aafe149bec4306,Alex Perez
http://ufcstats.com/fight-details/abfb3ed6dcb0e1f0,Josh Hokit
http://ufcstats.com/fight-details/210fc45074fba464,Ty Miller
http://ufcstats.com/fight-details/a5a81a39ccf9b680,Manel Kape
http://ufcstats.com/fight-details/24bb03f0a3415fbe,Kevin Vallejos
http://ufcstats.com/fight-details/d000cb692343cdcd,Cezary Oleksiejczuk
http://ufcstats.com/fight-details/93ca562453f65b8d,Melquizael Costa
http://ufcstats.com/fight-details/47149f3187661509,
http://ufcstats.com/fight-details/fc4ab243d21b795d,King Green
http://ufcstats.com/fight-details/0fca825e14429c1f,Yaroslav Amosov
